,click_bait_score,Content Title
0,0,Ърьшы ерсшс: ФРХи ш Рэ Эѓё№р ёр эют ђх№ю№шёђшїхэ єхэюьхэ
1,0,зХвШаШвХ вШЯР ЦХЭШ бЯЮаХФ ШЧвЮзЭШп ЪРЫХЭФРа
2,0,Р№ђ - Ыўфьшыр Ъшь яюїшђр я№хьшх№р чр Трэур
3,1,Шёђшэр шыш эх ! Шёђшэр ыш х фрыш Сющъю х ухщ шыш яѓёэш бЬб чр ухщ яр№рфр
4,0,"Тшфхюђю эр зр№ыш зряышэ, т ъюхђю эџьр фр ёх ёьххђх!"
5,0,"""ахътшхь чр Трэур юђ Ыўфьшыр Ъшь"" ё схчяырђэр я№юцхъішџ т їхђтњ№ђњъ тхїх№"
6,0,"""ахътшхь чр Трэур юђ Ыўфьшыр Ъшь"" ё схчяырђэр я№юцхъішџ т їхђтњ№ђњъ тхїх№"
7,1,"Ю№ръѓыњђ юђ ёхыю У№рэшір Трёшыър Рэръшхтр: Яюышђшіш фртрђ яю 40 000 ыхтр чр ьрушш, р Сющъю Сю№шёют љх..."
8,1,"Сњыур№ёъшђх шыўьшэрђш, эхчэрхљш, їх ёр яшюэъш ш ъѓъыш эр ъюэіш т яырэютхђх ш №њіхђх эр Шчтњэч..."
9,1,врщэшђх ряюърышяђшїэш ёъ№штрышљр эр ётхђютэшџ хышђ т юъхрэр
10,0,врчш ёхфьшір тњт тхёђэшъ Чрярф  оу
11,1,бсњфэрђш ш эхёсњфэрђш я№ю№юїхёђтр эр Трэур! Ърътю ърчтр чр ыхър№ёђтюђю ё№хљѓ №ръ!
12,1,"Фѓьшђх эр Трэур, ъюшђю эџьр фр чрс№ртшь (їрёђ 1)"
13,0,Юэырщэ тхёђэшъ бђ№ѓьр - Ыўсюяшђэю
14,1,Фюьњђ эр Шыўьшэрђш ш Эба х сшы тэхчряэю шчюёђртхэ!
15,1,Фюьњђ эр Шыўьшэрђш ш Эба х сшы тэхчряэю шчюёђртхэ!
16,1,бсњфэрђш ш эхёсњфэрђш я№ю№юїхёђтр эр Трэур! Ърътю ърчтр чр ыхър№ёђтюђю ё№хљѓ №ръ!
17,0,дшышя Ъш№ъю№ют ёыхфтр ёђ№шъђэю чртхђ юђ ьрщър ёш
